# object_name   ref_object  relative_x relative_y 
King_0   Origin  162902 124524 
Knight_1   Origin  50829 250992 
Bishop_2   King_0  -142798 111588 
Rook_3   Knight_1  229465 -13960 
Bishop_4   Bishop_2  68693 -58993 
King_5   Bishop_2  193929 -123389 
King_6   Knight_1  105849 1364 
Rook_7   Origin  176837 285518 
Knight_8   King_5  -137748 -38770 
Queen_9   Bishop_2  182316 -85853 
King_10   Rook_3  -231916 -203979 
Queen_11   King_0  103488 95858 
King_12   King_0  86151 -72706 
Rook_13   King_6  -152139 4955 
Rook_14   Rook_3  -235387 -129276 
Queen_15   Rook_3  -106095 -59736 
Queen_16   Rook_14  75540 111476 
King_17   Rook_13  195620 -74133 
Queen_18   Origin  25530 291265 
Queen_19   King_10  245502 192213 
Rook_20   King_5  -200059 -11648 
Rook_21   Origin  273368 26481 
Queen_22   Origin  161232 208075 
Bishop_23   Queen_18  61401 -187264 
Rook_24   Rook_3  -13489 -216632 
Bishop_25   Rook_20  250378 -18871 
Queen_26   Origin  188780 19125 
Knight_27   Queen_22  118855 -75894 
King_28   Knight_8  -19623 44048 
King_29   Rook_24  -164238 243315 
King_30   Knight_8  125307 -36878 
King_31   King_29  80482 -234881 
Rook_32   Rook_20  92346 135941 
King_33   Rook_32  127817 55797 
Queen_34   Bishop_2  237848 -95139 
Bishop_35   King_10  223118 146148 
King_36   Bishop_25  -143539 161530 
Queen_37   Queen_19  -140733 -73356 
Queen_38   King_10  102045 108813 
King_39   King_6  -126412 -147927 
Bishop_40   Bishop_25  -246453 37571 
Queen_41   Queen_37  -73833 -22515 
King_42   Bishop_25  -163555 18820 
Knight_43   Bishop_40  2722 77760 
Rook_44   King_31  75126 1615 
Rook_45   Queen_16  14435 -161927 
Knight_46   King_30  -50253 250776 
Knight_47   Bishop_40  175032 -80252 
Queen_48   Queen_9  72639 -30357 
Rook_49   King_12  -52447 196042 
Rook_50   Queen_37  -84902 139177 
Queen_51   Queen_34  -13956 142743 
Bishop_52   Queen_26  23602 146647 
King_53   Queen_18  58659 -73685 
Queen_54   Rook_21  -109825 190056 
Bishop_55   Rook_49  -132714 -220839 
Knight_56   King_30  81376 102217 
Queen_57   Rook_21  -164156 181920 
Queen_58   King_28  132742 118233 
King_59   Knight_8  89713 178664 
Queen_60   King_12  -66497 54341 
Bishop_61   Rook_20  99418 118133 
Knight_62   King_30  -101734 33587 
King_63   King_53  5753 -58204 
Knight_64   Rook_50  54876 -92310 
Knight_65   Bishop_52  56993 -96248 
Knight_66   Rook_24  -125918 211623 
King_67   Queen_58  -170855 -19922 
Knight_68   Rook_49  47584 -231976 
Rook_69   Rook_3  -226615 -57 
Knight_70   King_36  41093 26515 
Knight_71   Knight_64  112097 -81897 
Bishop_72   Knight_8  156408 -33046 
Queen_73   Queen_19  -85553 -211725 
Bishop_74   Rook_69  41200 -232099 
Knight_75   Knight_66  122738 -56010 
King_76   Knight_27  -220670 146241 
King_77   King_6  -113058 10263 
King_78   Rook_20  236054 115778 
Rook_79   Bishop_74  -62083 9519 
Bishop_80   Bishop_4  20328 42586 
Bishop_81   Queen_9  -95997 -69958 
Bishop_82   Bishop_40  84601 -20397 
Queen_83   King_30  23083 208971 
King_84   Rook_24  27583 275587 
Bishop_85   Knight_1  103759 -85539 
Queen_86   Rook_21  -159618 223323 
Rook_87   Queen_19  -193288 -131006 
Bishop_88   King_29  -101203 -207232 
Bishop_89   Queen_11  -111191 -84035 
Queen_90   Bishop_89  39910 58354 
Bishop_91   King_53  85666 -210582 
Bishop_92   Bishop_74  137956 189408 
Knight_93   King_31  -4368 104859 
Knight_94   Queen_60  -109611 -99083 
Knight_95   Bishop_55  68770 262785 
Bishop_96   Rook_14  226660 947 
King_97   Knight_47  -155254 31581 
King_98   Queen_19  -78655 -70342 
Bishop_99   Knight_93  17665 -133064 
Bishop_100   Queen_51  -2401 -238772 
Knight_101   Rook_69  152994 -119660 
Knight_102   Bishop_80  81181 33461 
Knight_103   Knight_94  128849 197847 
Rook_104   Knight_71  5618 -59453 
Bishop_105   Bishop_99  -88249 163584 
Knight_106   Rook_7  50098 -86304 
Knight_107   Queen_9  -190794 28411 
Rook_108   Bishop_61  61198 -193690 
Bishop_109   Rook_3  -243230 -229158 
Queen_110   Queen_41  175323 -80642 
Rook_111   Knight_62  -99005 80685 
Queen_112   King_78  -28906 -168229 
Rook_113   King_39  62167 88893 
Bishop_114   Bishop_2  -9586 -229240 
Queen_115   King_6  6926 -219601 
Bishop_116   Knight_46  140399 -65157 
Knight_117   Rook_69  90459 -96544 
King_118   Queen_9  -26014 -70335 
Rook_119   Queen_60  71020 17131 
Bishop_120   Queen_16  117497 -208972 
Knight_121   Queen_34  -3588 -75805 
Rook_122   Knight_107  22616 39434 
Queen_123   Queen_54  -130516 -44876 
Bishop_124   Rook_122  19765 -43054 
Knight_125   Queen_90  -165608 -133742 
Queen_126   Rook_111  75982 104640 
Bishop_127   Queen_115  63746 228826 
Rook_128   Rook_69  230670 -142459 
Rook_129   Rook_108  15392 248815 
Queen_130   Knight_93  -123379 -37460 
Knight_131   Bishop_40  272355 57171 
Bishop_132   Knight_117  18931 32825 
Bishop_133   Knight_43  198347 -68973 
Knight_134   Queen_86  -76167 -153342 
Queen_135   Bishop_124  223456 91614 
Rook_136   Rook_128  -209719 -75251 
